latitude, longitude, checkins, id
55.5917235359, 37.3665434301, 12, 4fb3eda2e4b0947c3d888be3
55.5944229416, 37.3581687988, 11, 4f909434e4b02bab449bb7cd
55.5689119023, 37.3934078488, 306, 4e1b5f03b61cda006c7ebdc2
55.593728, 37.366394, 1, 4fd60d41e4b0296d1f8aede8
55.5729300955, 37.3959192915, 135, 4ee48b9bb8f790fe3fddc256
55.5944229416, 37.3581687988, 1, 4f2fcc42e4b094acc71cc689
55.5689119023, 37.3934078488, 2, 4e6fcb001f6e4bc055c0acf9
55.5728779153, 37.396171341, 2, 4fce6df6e4b0fba16d8dec13
55.5630523546, 37.3879687308, 321, 4d7a93e154f18cfa0407b756
55.572896, 37.395974, 1, 4fc8a68ce4b003326fc081e5
55.5689119023, 37.3934078488, 0, 4f94b7f2e4b03330ab400bda
55.5689119023, 37.3934078488, 28, 4e39ade6887777123dd603b5
55.6107962123, 37.3849961505, 5, 4eeabb285c5c1fdfa30b13b5
55.5662717016, 37.4013351284, 249, 4daaefef0437dccbd810ed25
55.6131976282, 37.4146462565, 0, 4e0a18e3b3ad23ff5400dbcc
55.6107962123, 37.3849961505, 13, 4fb7bc51e4b0397fc08ccf1b
55.565112, 37.385938, 1, 4f3fa956e4b0ae06554a36f7
55.6100538716, 37.3998450316, 12, 4f8dcf31e4b02e7a65876810
55.565941, 37.362337, 1, 4fc07c27e4b0152d44c7fc05
55.566398, 37.395791, 2, 4eb2de7e722ead5ebf69313f
55.6050155384, 37.4012212054, 12, 4f7b3ea2e4b05c0cca260e5c
55.5689119023, 37.3934078488, 10, 4f33f2cce4b0a960e628d5d3
55.5689119023, 37.3934078488, 2, 4f9daed6e4b05baf795ea1df
55.560731235, 37.3800034635, 108, 4ef706a293ad7cf2ea204e7e
55.5638255321, 37.3886776599, 65, 4f19a675e4b04692a0c354dd
55.6107962123, 37.3849961505, 48, 4f40a26de4b08a9e0aacde33
55.6107962123, 37.3849961505, 142, 4cd050bf48b8370414c4f1de
55.5639822914, 37.3883668208, 40, 4f2c22d7e4b0009b31bdc50f
55.5639858474, 37.3888588892, 30, 4f39777ce4b02a70e3633fb8
55.5689119023, 37.3934078488, 3, 4fca6b26e4b0980cf14ec1ad
55.5636941761, 37.3888121052, 6, 4eecd27e8231688f1d9de604
55.6107962123, 37.3849961505, 0, 4f58b724e4b08e27a0e37f8a
55.613910422, 37.3735569192, 48, 4f98d120e4b037b5693567b6
55.560731235, 37.3800034635, 1, 4c41d647ce54e21edea30b1a
55.560731235, 37.3800034635, 113, 4ec951b8e5fa232a77583de2
55.566759, 37.402847, 3, 4f588c91e4b0ad7e15d7960b
55.560731235, 37.3800034635, 2, 4fcf69d1e4b02f27da6abd50
55.5631330851, 37.4096135833, 1, 4fd71b68e4b0b5d9899410e0
55.5611055525, 37.3881083124, 8, 4f5313e8e4b0b5d9de791afc
55.5886480697, 37.3743897142, 242, 4e75935b52b1c8e519853fa4
55.566504873, 37.3637954249, 1, 4fd6d4ffe4b00c40bb0ddf57
55.589837, 37.374708, 98, 4f831e06e4b0e160bbc99419
55.560731235, 37.3800034635, 2, 4ea0e4107ee52a35dc4149b0
55.5852699572, 37.4202351982, 0, 4e1962c9c65b6bfb59181df9
55.591398, 37.430213, 1, 4f9ff93de4b0603d523185bd
55.5934473406, 37.4336581671, 27, 4f35549be4b0d2349e45d026
55.5852699572, 37.4202351982, 2, 4fb751c7e4b07fc4311b9583
55.5852699572, 37.4202351982, 1, 4f6dd41be4b01489b9f26c30
55.5865434037, 37.4105501175, 4, 4f4239097716e5cd5e9eac53
55.601623625, 37.4470873353, 5, 4fae5b08e4b085f6b296d139
55.5934473406, 37.4336581671, 1, 4fd6d10be4b07220ec18debd
55.585256, 37.409614, 10, 4f9fc7fce4b0743303d3febc
55.590593, 37.438234, 2, 4f9c3014e4b0e868c28fd800
55.5794853386, 37.4364450483, 1, 4f648a76e4b03be10320dfc4
55.5934473406, 37.4336581671, 2, 4fa742e7e4b0548308390e82
55.5877761599, 37.438179561, 59, 4e0dde5fae603a50b53c98ad
55.576316, 37.435635, 1, 4f9fe439e4b008751db73a92
55.5794853386, 37.4364450483, 1, 4fb74c24e4b02db3078c2715
55.6041479086, 37.4300765991, 23, 4bf77f988d30d13a8f31ff17
55.5910522954, 37.4040209679, 16, 4e0dc46e52b1b27c1b7fc6ef
